concessionaria;ano_do_pnv_snv;uf;tipo_de_pista;sentido;direcao;situacao;data_da_inativacao;km_m_inicio;latitude_inicio;longitude_inicio;km_m_final;latitude_final;longitude_final;br
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;0.0;-21.222617;-41.309502;2.14;-21.236872;-41.320867;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;2.39;-21.2384;-41.322779;2.69;-21.240198;-41.324886;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;3.16;-21.244189;-41.326372;4.31;-21.254272;-41.325014;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;4.46;-21.255628;-41.324991;4.94;-21.25959;-41.326216;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;5.18;-21.26161;-41.326905;5.74;-21.266604;-41.327362;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;5.98;-21.268737;-41.326916;6.22;-21.270977;-41.326445;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;6.44;-21.272957;-41.326591;8.89;-21.292058;-41.31867;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;9.49;-21.297432;-41.318487;13.66;-21.330326;-41.331091;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;13.78;-21.331329;-41.331534;18.54;-21.37109;-41.339493;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;18.88;-21.37335;-41.341728;19.42;-21.377101;-41.343269;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;19.68;-21.379312;-41.342431;25.5;-21.428407;-41.346112;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;25.82;-21.430578;-41.344064;26.64;-21.43756;-41.34325;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;26.82;-21.439168;-41.343027;28.84;-21.457047;-41.342732;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;29.76;-21.464648;-41.339026;31.71;-21.479994;-41.339051;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;32.18;-21.484197;-41.339953;32.62;-21.488097;-41.340724;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;32.88;-21.490312;-41.34154;34.82;-21.506799;-41.337412;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;35.04;-21.508554;-41.336494;36.04;-21.517045;-41.33364;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;36.81;-21.5236;-41.336045;37.08;-21.525917;-41.337057;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;37.98;-21.533384;-41.340455;39.36;-21.544815;-41.339355;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;39.78;-21.547888;-41.336985;40.99;-21.555608;-41.328795;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;41.84;-21.562154;-41.324639;42.34;-21.566494;-41.323908;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;43.98;-21.580813;-41.320752;45.0;-21.589261;-41.316964;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;45.84;-21.596824;-41.316802;47.02;-21.607611;-41.316566;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;47.5;-21.611914;-41.315993;47.9;-21.615499;-41.315503;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;48.12;-21.617422;-41.315227;48.59;-21.621631;-41.314651;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;49.61;-21.630815;-41.313414;49.9;-21.633502;-41.313027;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;50.32;-21.636687;-41.312582;50.89;-21.641787;-41.311876;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;51.26;-21.645047;-41.311482;52.12;-21.652601;-41.311325;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;52.44;-21.655479;-41.311262;53.39;-21.664073;-41.311331;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;53.89;-21.668589;-41.311185;54.4;-21.673345;-41.311018;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;55.46;-21.682866;-41.310901;56.02;-21.689383;-41.310396;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;56.58;-21.692998;-41.310295;56.79;-21.694892;-41.31024;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;57.3;-21.699443;-41.310115;67.66;-21.770686;-41.354873;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;68.16;-21.772859;-41.359015;69.68;-21.78009;-41.37191;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;70.1;-21.782145;-41.375355;71.54;-21.789614;-41.386303;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;71.86;-21.791718;-41.388429;73.2;-21.80207;-41.395644;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;73.46;-21.804276;-41.39652;76.2;-21.825973;-41.404606;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;76.4;-21.827017;-41.40611;77.04;-21.830768;-41.41148;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;77.54;-21.833446;-41.415379;80.54;-21.833377;-41.442626;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;81.4;-21.831358;-41.450688;84.48;-21.821433;-41.474395;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;144.64;-22.217576;-41.757967;147.5;-22.23127;-41.779854;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;147.72;-22.231948;-41.782036;150.895;-22.24454;-41.806545;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;151.33;-22.24712;-41.809838;153.64;-22.25401;-41.830287;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;153.8;-22.25493;-41.831706;156.495;-22.265206;-41.854225;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;156.78;-22.266081;-41.856833;157.31;-22.267602;-41.861395;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;157.51;-22.268238;-41.863301;158.375;-22.272083;-41.86999;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;158.84;-22.276095;-41.871879;159.21;-22.279073;-41.873066;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;161.125;-22.29458;-41.87975;161.34;-22.296383;-41.88052;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;161.575;-22.298364;-41.881374;162.73;-22.306487;-41.887556;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;162.96;-22.308028;-41.88934;163.245;-22.31004;-41.891387;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;163.59;-22.312265;-41.893769;163.835;-22.313821;-41.895417;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;164.11;-22.315668;-41.897378;164.825;-22.320511;-41.901923;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;165.37;-22.323567;-41.906491;166.735;-22.332704;-41.9144;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;167.035;-22.335264;-41.91566;167.51;-22.339246;-41.917216;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;167.75;-22.341442;-41.917111;169.31;-22.352359;-41.922976;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;169.92;-22.354708;-41.928275;171.89;-22.367342;-41.94188;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;172.1;-22.367483;-41.943864;172.68;-22.368957;-41.949193;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;173.14;-22.371611;-41.952591;175.33;-22.380321;-41.971047;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;175.45;-22.381104;-41.971903;176.025;-22.384169;-41.976267;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;176.485;-22.384863;-41.980691;177.44;-22.38949;-41.98808;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;177.85;-22.391247;-41.991867;181.13;-22.417457;-42.00135;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;181.96;-22.42261;-42.00719;182.32;-22.42485;-42.009903;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;182.98;-22.426493;-42.016064;187.125;-22.443714;-42.047576;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;187.89;-22.448957;-42.052368;190.34;-22.464896;-42.068514;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;205.22;-22.475626;-42.190747;207.77;-22.478294;-42.214924;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;208.245;-22.480171;-42.219101;208.77;-22.482031;-42.223813;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Crescente;Sul;Ativo;;215.675;-22.50665;-42.277781;217.96;-22.506834;-42.297848;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Decrescente;Norte;Ativo;;2.4;-21.23854;-41.322814;0.0;-21.222617;-41.309502;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Decrescente;Norte;Ativo;;3.24;-21.244988;-41.326254;2.69;-21.240148;-41.324861;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Decrescente;Norte;Ativo;;4.48;-21.255809;-41.324987;3.34;-21.245814;-41.326388;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Decrescente;Norte;Ativo;;5.32;-21.262857;-41.32724;4.68;-21.257604;-41.324964;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Decrescente;Norte;Ativo;;5.97;-21.268634;-41.326847;5.46;-21.264101;-41.327431;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Decrescente;Norte;Ativo;;6.43;-21.273074;-41.326544;6.2;-21.27083;-41.326464;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Decrescente;Norte;Ativo;;9.16;-21.294581;-41.318523;6.7;-21.275278;-41.326341;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Decrescente;Norte;Ativo;;11.25;-21.310429;-41.325293;9.66;-21.29931;-41.318446;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Decrescente;Norte;Ativo;;18.66;-21.371251;-41.33964;11.59;-21.313089;-41.32503;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Decrescente;Norte;Ativo;;19.64;-21.378977;-41.342555;19.12;-21.374524;-41.342821;101
AUTOPISTA FLUMINENSE;2019;RJ;Principal;Decrescente;Norte;Ativo;;25.72;-21.429888;-41.3447;19.86;-21.380848;-41.34185;101
