Código Identificação;UF;Município;Faixas;Tipo;Marca/Modelo;Edital/Lote (Operadora);Inicio Operação;Cód. ET;Cód. EV;latitude;longitude;km;br
ACB22010002;AC;RIO BRANCO;P-C-1, P-C-2;REV;Vizentec/DTV 102;168.16 / 10 (Data Traffic);2022-08-10;ET.1912.AC0001;EV.1910.AC0016;-10.011417;-67.794678;124.4;364
ALB18080001;AL;UNIAO DOS PALMARES;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0023;EV.1805.AL0009;-9.15115199999999;-36.013171;33.74;104
ALB18080002;AL;RIO LARGO;P-C-1, P-C-2, P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0001;EV.1805.AL0020;-9.466008;-35.825153;86.255;104
ALB18080003;AL;RIO LARGO;P-C-1, P-C-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0002;EV.1805.AL0023;-9.474353;-35.8220549999999;87.257;104
ALB18080004;AL;RIO LARGO;P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0002;EV.1805.AL0023;-9.474353;-35.8220549999999;87.257;104
ALB18080005;AL;MARAVILHA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0006;EV.1805.AL0016;-9.27182299999999;-37.391544;65.0;316
ALB18080006;AL;POCO DAS TRINCHEIRAS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0039;EV.1805.AL0017;-9.34071499999999;-37.2843409999999;78.95;316
ALB18080007;AL;SANTANA DO IPANEMA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0003;EV.1805.AL0019;-9.368432;-37.246836;84.33;316
ALB18080008;AL;SANTANA DO IPANEMA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-02-09;ET.1806.AL0041;EV.1805.AL0022;-9.37311399999999;-37.2357609999999;85.68;316
ALB18080009;AL;MARIBONDO;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0010;EV.1805.AL0047;-9.58554999999999;-36.3204149999999;200.7;316
ALB18080010;AL;PILAR;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0051;EV.1805.AL0057;-9.588725;-35.955606;254.37;316
ALB18080011;AL;SATUBA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0049;EV.1805.AL0063;-9.571728;-35.82179;270.08;316
ALB18080012;AL;SATUBA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0014;EV.1805.AL0064;-9.571619;-35.825136;269.72;316
ALB18080013;AL;AGUA BRANCA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0038;EV.1805.AL0018;-9.33018099999999;-37.9834;79.0;423
ALB18090014;AL;SAO MIGUEL DOS CAMPOS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0016;EV.1805.AL0039;-9.80836599999999;-36.11616;139.445;101
ALB18090015;AL;RIO LARGO;P-C-1, P-C-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0030;EV.1805.AL0025;-9.50911499999999;-35.807797;91.392;104
ALB18090016;AL;MURICI;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0027;EV.1805.AL0014;-9.307779;-35.939058;59.184;104
ALB18090017;AL;RIO LARGO;P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-02-09;ET.1806.AL0030;EV.1805.AL0025;-9.50911499999999;-35.807797;91.392;104
ALB18090018;AL;DOIS RIACHOS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0042;EV.1805.AL0034;-9.38945999999999;-37.089685;102.96;316
ALB18090019;AL;CACIMBINHAS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0043;EV.1805.AL0036;-9.40447299999999;-36.989922;114.23;316
ALB18090020;AL;ESTRELA DE ALAGOAS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0045;EV.1805.AL0038;-9.389732;-36.80932;134.34;316
ALB18090021;AL;MARIBONDO;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0056;EV.1805.AL0048;-9.57760299999999;-36.304628;202.7;316
ALB18090022;AL;BRANQUINHA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0026;EV.1805.AL0012;-9.24140599999999;-36.012441;46.16;104
ALB18090023;AL;UNIAO DOS PALMARES;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-02-09;ET.1806.AL0024;EV.1805.AL0010;-9.162107;-36.0172519999999;35.1;104
ALB18090024;AL;RIO LARGO;P-C-1, P-C-2, P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0029;EV.1805.AL0024;-9.497467;-35.81257;90.0;104
ALB18090025;AL;PALMEIRA DOS INDIOS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0008;EV.1805.AL0042;-9.421091;-36.6233969999999;156.25;316
ALB18090026;AL;BELEM;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0046;EV.1805.AL0046;-9.59074599999999;-36.4569929999999;184.1;316
ALB18090027;AL;ATALAIA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0011;EV.1805.AL0056;-9.515019;-36.00168;244.84;316
ALB18090028;AL;SATUBA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0013;EV.1805.AL0059;-9.587967;-35.880499;262.8;316
ALB18090029;AL;SATUBA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0048;EV.1805.AL0062;-9.572335;-35.8271289999999;269.48;316
ALB18090030;AL;PORTO REAL DO COLEGIO;P-C-1, P-C-2, P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0017;EV.1805.AL0049;-10.063902;-36.6899069999999;222.3;101
ALB18090031;AL;UNIAO DOS PALMARES;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0025;EV.1805.AL0011;-9.166638;-36.0212229999999;35.84;104
